census_tract,block_group,total_pop,pct_white,pct_black,stat_nb
101,1,1135,0.923,0.02,Canton
101,2,967,0.933,0.02,Canton
101,3,920,0.861,0.09,Canton
102,1,825,0.619,0.176,Patterson Park Neighborhood
102,2,578,0.834,0.057,Canton
102,3,942,0.88,0.032,Canton
102,4,664,0.673,0.127,Patterson Park
103,1,938,0.88,0.045,Canton
103,2,1270,0.896,0.041,Canton
104,1,910,0.898,0.03,Canton
104,2,1960,0.855,0.046,Canton
105,1,846,0.846,0.067,Butcher's Hill
105,2,878,0.829,0.032,Upper Fells Point
201,1,726,0.713,0.147,Butcher's Hill
201,2,1158,0.818,0.066,Upper Fells Point
202,1,902,0.528,0.216,Washington Hill
202,2,1185,0.614,0.097,Upper Fells Point
203,1,1141,0.837,0.038,Fells Point
203,2,1040,0.832,0.064,Fells Point
203,3,1163,0.863,0.033,Fells Point
301,1,2194,0.112,0.803,Perkins Homes
301,2,871,0.183,0.693,Washington Hill
302,1,1222,0.299,0.597,Jonestown
302,2,1120,0.804,0.054,Little Italy
401,1,1691,0.537,0.255,Downtown
401,2,2315,0.465,0.239,Downtown
402,1,838,0.458,0.285,University Of Maryland
601,1,725,0.203,0.623,Ellwood Park/Monument
601,2,1128,0.42,0.356,Patterson Park Neighborhood
601,3,703,0.531,0.336,Patterson Park Neighborhood
601,4,666,0.165,0.68,McElderry Park
602,1,535,0.121,0.682,McElderry Park
602,2,541,0.612,0.288,Patterson Park Neighborhood
602,3,718,0.531,0.35,Patterson Park Neighborhood
602,4,830,0.418,0.44,Patterson Place
602,5,641,0.133,0.775,McElderry Park
603,1,697,0.141,0.791,CARE
603,2,1103,0.532,0.283,Butcher's Hill
604,1,496,0.25,0.617,Dunbar-Broadway
604,2,687,0.207,0.742,CARE
701,1,1192,0.028,0.942,Madison-Eastend
701,2,1765,0.068,0.867,Ellwood Park/Monument
702,1,576,0.017,0.939,Milton-Montford
702,2,991,0.014,0.962,Madison-Eastend
702,3,940,0.056,0.894,McElderry Park
702,4,560,0.045,0.846,McElderry Park
702,5,715,0.013,0.948,Milton-Montford
703,1,610,0.067,0.877,CARE
703,2,432,0.023,0.963,Middle East
704,1,169,0.018,0.982,Middle East
704,2,252,0.02,0.972,Middle East
704,3,820,0.012,0.962,Gay Street
801.01,1,707,0.767,0.164,Mayfield
801.01,2,878,0.207,0.768,Belair-Edison
801.01,3,1288,0.074,0.898,Belair-Edison
801.01,4,1008,0.109,0.856,Belair-Edison
801.02,1,928,0.027,0.962,Belair-Edison
801.02,2,1580,0.02,0.953,Four By Four
802,1,425,0.019,0.967,Berea
802,2,594,0.013,0.955,Brodway East
802,3,566,0.007,0.954,Brodway East
803.01,1,447,0.018,0.955,Brodway East
803.01,2,941,0.006,0.984,Berea
803.01,3,696,0.01,0.976,Biddle Street
803.02,1,466,0,0.974,Berea
803.02,2,612,0.002,0.985,Biddle Street
803.02,3,865,0.008,0.979,Biddle Street
803.02,4,994,0.01,0.979,Berea
804,1,754,0.025,0.954,Brodway East
804,2,810,0.032,0.943,Middle East
805,1,543,0.007,0.974,Darley Park
805,2,675,0.004,0.978,Darley Park
805,3,486,0.01,0.971,South Clifton Park
806,1,695,0.01,0.98,Brodway East
806,2,531,0.015,0.966,Oliver
806,3,452,0.022,0.96,Brodway East
806,4,791,0.029,0.947,Broadway East
807,1,577,0.017,0.953,Oliver
807,2,560,0.021,0.957,Oliver
808,1,305,0.013,0.987,Middle East
808,2,976,0.011,0.971,Gay Street
901,1,1139,0.054,0.904,Pen Lucy
901,2,687,0.106,0.875,Ednor Gardens-Lakeside
901,3,1074,0.168,0.796,Ednor Gardens-Lakeside
901,4,637,0.141,0.821,Pen Lucy
901,5,714,0.021,0.947,Pen Lucy
902,1,1682,0.249,0.707,Montebello
902,2,1561,0.055,0.905,Ednor Gardens-Lakeside
903,1,548,0.173,0.794,Ednor Gardens-Lakeside
903,2,923,0.117,0.821,Ednor Gardens-Lakeside
903,3,804,0.461,0.476,Ednor Gardens-Lakeside
903,4,1928,0.137,0.815,Waverly
904,1,1118,0.135,0.837,Better Waverly
904,2,468,0.021,0.966,Better Waverly
905,1,705,0.013,0.959,Coldstream Homestead Motebello
905,2,1259,0.181,0.752,Better Waverly
906,1,789,0.022,0.932,Coldstream Homestead Motebello
906,2,1050,0.01,0.97,Coldstream Homestead Motebello
906,3,591,0.024,0.958,Coldstream Homestead Motebello
906,4,972,0.026,0.956,Coldstream Homestead Motebello
907,1,948,0.007,0.967,Coldstream Homestead Motebello
907,2,605,0.013,0.964,Coldstream Homestead Motebello
907,3,953,0.012,0.966,Coldstream Homestead Motebello
907,4,643,0.026,0.961,Coldstream Homestead Motebello
908,1,520,0.008,0.952,East Baltimore Midway
908,2,662,0.018,0.961,East Baltimore Midway
908,3,452,0.02,0.962,East Baltimore Midway
908,4,1010,0.008,0.983,East Baltimore Midway
908,5,429,0.016,0.937,East Baltimore Midway
909,1,384,0.01,0.945,Oliver
909,2,499,0.012,0.972,Oliver
909,3,627,0.019,0.96,Oliver
909,4,942,0.015,0.968,Oliver
1001,1,744,0.015,0.964,Johnston Square
1001,2,401,0.042,0.915,Johnston Square
1001,3,370,0.014,0.984,Gay Street
1001,4,611,0.002,0.985,Johnston Square
1002,1,768,0.008,0.983,Oldtown
1002,2,1416,0.002,0.967,Oldtown
1002,3,583,0.015,0.967,Oldtown
1003,1,5237,0.154,0.833,Penn-Fallsway
1101,1,2012,0.624,0.251,Mid-Town Belvedere
1101,2,1211,0.585,0.206,Mount Vernon
1102,1,1884,0.583,0.262,Mid-Town Belvedere
1102,2,1551,0.631,0.23,Mount Vernon
1102,3,1637,0.574,0.304,Mount Vernon
1201,1,1377,0.762,0.15,Guilford
1201,2,804,0.699,0.047,Tuscany-Canterbury
1201,3,1149,0.753,0.057,Tuscany-Canterbury
1201,4,1460,0.653,0.034,Tuscany-Canterbury
1202.01,1,1144,0.719,0.114,Oakenshawe
1202.01,2,889,0.682,0.24,Abell
1202.02,1,651,0.591,0.038,Johns Hopkins Homewood
1202.02,2,760,0.384,0.087,Charles Village
1202.02,3,2070,0.584,0.055,Charles Village
1202.02,4,1466,0.696,0.101,Charles Village
1202.02,5,1277,0.608,0.103,Charles Village
1203,1,854,0.448,0.471,Harwood
1203,2,768,0.382,0.54,Harwood
1203,3,750,0.341,0.581,Harwood
1203,4,1180,0.236,0.708,Barclay
1204,1,563,0.067,0.87,Barclay
1204,2,750,0.165,0.779,Barclay
1205,1,690,0.199,0.726,Charles North
1205,2,1061,0.307,0.65,Greenmount West
1206,1,889,0.451,0.422,Charles Village
1206,2,1227,0.422,0.428,Charles Village
1206,3,1153,0.141,0.736,Charles North
1207,1,780,0.683,0.136,Remington
1207,2,895,0.501,0.334,Remington
1207,3,801,0.584,0.301,Remington
1301,1,438,0.091,0.879,Reservoir Hill
1301,2,685,0.041,0.927,Reservoir Hill
1301,3,899,0.05,0.929,Reservoir Hill
1301,4,591,0.098,0.848,Reservoir Hill
1302,1,602,0.282,0.689,Reservoir Hill
1302,2,979,0.05,0.92,Reservoir Hill
1302,3,622,0.105,0.841,Reservoir Hill
1302,4,572,0.051,0.928,Reservoir Hill
1303,1,737,0.05,0.919,Reservoir Hill
1303,2,683,0.007,0.966,Penn North
1303,3,849,0.007,0.978,Penn North
1304,1,510,0.041,0.939,Parkview/Woodbrook
1304,2,915,0.011,0.948,Parkview/Woodbrook
1304,3,586,0.026,0.954,Parkview/Woodbrook
1306,1,983,0.873,0.052,Hampden
1306,2,856,0.895,0.032,Hampden
1306,3,844,0.922,0.011,Hampden
1306,4,903,0.891,0.043,Hampden
1307,1,1036,0.75,0.199,Roland Park
1307,2,859,0.874,0.014,Roland Park
1307,3,618,0.877,0.024,Wyman Park
1307,4,668,0.91,0.039,Hampden
1307,5,1122,0.752,0.135,Hoes Heights
1307,6,889,0.917,0.045,Hampden
1308.03,1,606,0.7,0.178,Medfield
1308.03,2,1162,0.667,0.162,Medfield
1308.03,3,980,0.893,0.042,Medfield
1308.04,1,888,0.828,0.1,Hampden
1308.04,2,1067,0.892,0.037,Hampden
1308.05,1,985,0.164,0.761,Coldspring
1308.06,1,1431,0.683,0.245,Woodberry
1401,1,1326,0.667,0.148,Bolton Hill
1401,2,1336,0.595,0.267,Bolton Hill
1401,3,928,0.336,0.583,Bolton Hill
1401,4,1384,0.59,0.352,Bolton Hill
1402,1,672,0.089,0.885,Madison Park
1402,2,947,0.033,0.941,Upton
1402,3,553,0.016,0.971,Upton
1402,4,681,0.001,0.978,Upton
1403,1,600,0.037,0.92,Druid Heights
1403,2,435,0.002,0.989,Druid Heights
1403,3,652,0.106,0.857,Madison Park
1403,4,646,0.02,0.946,Druid Heights
1501,1,542,0.024,0.935,Sandtown-Winchester
1501,2,1199,0.01,0.982,Sandtown-Winchester
1501,3,1470,0.007,0.981,Sandtown-Winchester
1502,1,997,0.017,0.963,Sandtown-Winchester
1502,2,782,0.001,0.994,Easterwood
1502,3,920,0.011,0.968,Easterwood
1503,1,844,0.004,0.975,Coppin Heights/Ash-Co-East
1503,2,779,0.012,0.972,Coppin Heights/Ash-Co-East
1503,3,855,0.009,0.981,Coppin Heights/Ash-Co-East
1504,1,709,0.008,0.97,Mondawmin
1504,2,1050,0.017,0.95,Mondawmin
1504,3,1965,0.011,0.964,Mondawmin
1505,1,805,0.011,0.963,Liberty Square
1505,2,738,0.007,0.963,Burleith-Leighton
1506,1,747,0.001,0.971,Panway/Braddish Avenue
1506,2,663,0.002,0.94,Northwest Community Action
1506,3,676,0.01,0.978,Northwest Community Action
1506,4,413,0.029,0.949,Fairmont
1506,5,913,0.013,0.97,Walbrook
1507.01,1,579,0.014,0.979,Hanlon-Longwood
1507.01,2,565,0.009,0.963,Hanlon-Longwood
1507.01,3,552,0.007,0.958,Hanlon-Longwood
1507.02,1,986,0.01,0.987,Panway/Braddish Avenue
1507.02,2,801,0.006,0.989,Walbrook
1507.02,3,572,0.033,0.955,Walbrook
1508,1,776,0.019,0.956,Forest Park
1508,2,812,0.018,0.964,Mount Holly
1508,3,976,0.012,0.953,Hanlon-Longwood
1508,4,573,0.021,0.97,Garwyn Oaks
1508,5,514,0.006,0.975,Garwyn Oaks
1508,6,572,0.014,0.97,Forest Park
1509,1,1024,0.016,0.972,Concerned Citizens Of Forest Park
1509,2,924,0.013,0.973,West Forest Park
1509,3,536,0.034,0.948,Windsor Hills
1509,4,860,0.029,0.943,Fairmont
1510,1,661,0.026,0.95,Dolfield
1510,2,1233,0.024,0.951,Dolfield
1510,3,520,0.006,0.987,West Arlington
1510,4,398,0.015,0.962,Central Forest Park
1510,5,1173,0.026,0.958,Dorchester
1510,6,672,0.004,0.987,Dorchester
1510,7,557,0.011,0.978,Dorchester
1511,1,776,0.017,0.963,Dolfield
1511,2,2194,0.007,0.977,East Arlington
1511,3,953,0.014,0.964,Ashburton
1511,4,735,0.014,0.962,Ashburton
1511,5,601,0.017,0.96,Ashburton
1511,6,1313,0.013,0.965,Ashburton
1512,1,1630,0.036,0.938,Park Circle
1512,2,385,0.008,0.982,Park Circle
1512,3,815,0.004,0.982,Park Circle
1512,4,564,0.018,0.952,Park Circle
1512,5,821,0.007,0.956,Greenspring
1513,1,1418,0.003,0.979,Greenspring
1513,2,910,0.003,0.987,Greenspring
1513,3,422,0.009,0.95,Central Park Heights
1513,4,968,0.017,0.971,Central Park Heights
1513,5,828,0.013,0.967,Lucille Park
1601,1,319,0.038,0.931,Sandtown-Winchester
1601,2,364,0.016,0.956,Sandtown-Winchester
1601,3,1029,0.011,0.968,Harlem Park
1601,4,676,0.015,0.964,Harlem Park
1602,1,1186,0.009,0.974,Sandtown-Winchester
1602,2,435,0.009,0.982,Sandtown-Winchester
1602,3,894,0.013,0.945,Harlem Park
1603,1,941,0.027,0.961,Sandtown-Winchester
1603,2,617,0.005,0.985,Harlem Park
1604,1,473,0.002,0.994,Bridgeview/Greenlawn
1604,2,886,0.001,0.976,Midtown-Edmondson
1604,3,508,0.024,0.959,Midtown-Edmondson
1604,4,658,0.015,0.967,Midtown-Edmondson
1605,1,1043,0.005,0.98,Bridgeview/Greenlawn
1605,2,734,0.005,0.969,Midtown-Edmondson
1605,3,680,0.001,0.978,Rosemont Homeowners/Tenants
1605,4,863,0.009,0.949,Evergreen Lawn
1605,5,925,0.004,0.982,Bridgeview/Greenlawn
1606,1,524,0.006,0.958,Franklintown Road
1606,2,941,0.007,0.977,Mosher
1606,3,713,0.017,0.968,Rosemont Homeowners/Tenants
1606,4,707,0.004,0.963,Mosher
1606,5,624,0,0.995,Franklintown Road
1607,1,601,0.013,0.958,Northwest Community Action
1607,2,892,0.011,0.965,Winchester
1607,3,701,0.01,0.961,Franklintown Road
1607,4,1494,0.002,0.975,Rosemont
1607,5,531,0,0.992,Northwest Community Action
1607,6,637,0.014,0.967,Rosemont
1607,7,759,0.004,0.971,Rosemont
1608.01,1,1244,0.012,0.965,Edmondson Village
1608.01,2,626,0.002,0.986,Edmondson Village
1608.01,3,654,0.003,0.985,Edmondson Village
1608.01,4,757,0.009,0.96,Edmondson Village
1608.02,1,1084,0.008,0.976,Edgewood
1608.02,2,841,0.008,0.976,Edgewood
1608.02,3,1120,0.008,0.968,Edgewood
1701,1,967,0.286,0.658,Seton Hill
1701,2,635,0.077,0.877,Seton Hill
1702,1,1922,0.011,0.974,Upton
1702,2,712,0.107,0.865,Upton
1702,3,511,0.186,0.748,Upton
1703,1,968,0.003,0.976,Upton
1703,2,1043,0.02,0.938,Heritage Crossing
1801,1,1125,0.021,0.949,Poppleton
1801,2,1075,0.004,0.993,Poppleton
1802,1,495,0.057,0.925,Poppleton
1802,2,482,0.058,0.929,Poppleton
1803,1,679,0.295,0.641,Hollins Market
1803,2,1230,0.315,0.626,Hollins Market
1901,1,410,0,0.993,Franklin Square
1901,2,695,0.03,0.871,Franklin Square
1901,3,790,0.028,0.939,Franklin Square
1902,1,762,0.286,0.617,Union Square
1902,2,1158,0.333,0.516,New Southwest/Mount Clare
1903,1,582,0.223,0.729,Union Square
1903,2,787,0.16,0.813,Carrollton Ridge
1903,3,480,0.408,0.45,New Southwest/Mount Clare
1903,4,737,0.446,0.377,Carrollton Ridge
2001,1,883,0.015,0.951,Penrose/Fayette Street Outreach
2001,2,963,0.029,0.945,Penrose/Fayette Street Outreach
2002,1,599,0.023,0.96,Penrose/Fayette Street Outreach
2002,2,708,0.003,0.99,Penrose/Fayette Street Outreach
2002,3,497,0.008,0.984,Penrose/Fayette Street Outreach
2002,4,557,0.011,0.962,Shipley Hill
2002,5,608,0.018,0.952,Penrose/Fayette Street Outreach
2003,1,745,0.156,0.797,Carrollton Ridge
2003,2,1091,0.328,0.589,Carrollton Ridge
2004,1,652,0.003,0.971,Shipley Hill
2004,2,1039,0.04,0.944,Shipley Hill
2005,1,428,0.353,0.612,Carrollton Ridge
2005,2,539,0.295,0.651,Millhill
2005,3,617,0.342,0.551,Carrollton Ridge
2005,4,862,0.391,0.513,Millhill
2005,5,696,0.376,0.534,Millhill
2006,1,1133,0.429,0.529,Carroll-South Hilton
