neighborhood,nBlockGroups,area_acres,total_pop,pct_white,pct_black
Abell,1,75.19015868475154,889,0.682,0.24
Allendale,3,415.15287724585954,2827,0.0055196321188539085,0.9804612663600991
Arcadia-Parkside,2,287.1278059879397,1698,0.4441484098939929,0.4962685512367492
Arlington,3,231.21119552975367,3175,0.012628346456692913,0.9624913385826771
Armistead Gardens,4,547.1095969820109,3269,0.7771437748546957,0.03501193025390027
Ashburton,4,482.0889816201267,3602,0.014136035535813437,0.9632890061077178
Baltimore Highlands,2,247.13784337865414,2814,0.37781094527363185,0.27732054015636104
Barclay,3,188.24727443599318,2493,0.17647452868030483,0.7659446450060169
Barre's Delight,2,172.63275555147834,2798,0.4935028591851322,0.3949899928520372
Beechfield,2,399.48042105966897,3626,0.08569635962493105,0.8793400441257584
Belair-Edison,16,867.5894305772403,16373,0.08109521773651743,0.8954715079704393
Bellona-Gittings-Orchards,1,419.11262914045665,1298,0.837,0.085
Belvedere,1,160.58273504610963,991,0.306,0.665
Berea,4,314.37154253388786,2826,0.008372611464968153,0.9780357395612171
Better Waverly,3,278.92862793752283,2845,0.13660351493848855,0.820605272407733
Beverly Hills,1,91.02473759076803,595,0.555,0.41
Biddle Street,3,154.79720611624182,2173,0.006950759318913944,0.9797289461573861
Bolton Hill,4,235.96826414809146,4974,0.564481302774427,0.3178833936469642
Brewers Hill,1,45.694704229025156,868,0.859,0.037
Bridgeview/Greenlawn,3,318.83409837216396,2441,0.0040397378123719786,0.983470708725932
Broadway East,1,44.14184406919094,791,0.029,0.947
Brodway East,6,262.7847060712573,3508,0.01581356898517674,0.9602209236031927
Broening Manor,1,169.4772641041252,1726,0.615,0.19899999999999998
Brooklyn,8,711.9332603608735,8775,0.5061060968660969,0.37425777777777774
Burleith-Leighton,1,186.7172767096602,738,0.007,0.963
Butcher's Hill,3,95.49179882443244,2675,0.6804299065420562,0.17777682242990653
CARE,3,167.10728765646462,1994,0.1411013039117352,0.8004267803410231
Cameron Village,2,206.01477774068042,1935,0.0549891472868217,0.9171286821705427
Canton,14,709.7076404360004,13475,0.8747106493506492,0.04277358070500927
Carroll-South Hilton,2,580.8113193206846,2042,0.24737806072477964,0.7239764936336925
Carrollton Ridge,6,250.524391982327,4405,0.293027922814983,0.6256406356413167
Cedarcroft,1,133.64921485950157,660,0.895,0.05499999999999999
Cedmont,3,430.7819308064325,2721,0.4477578096288129,0.5066835722160971
Cedonia,4,340.62288806315246,3513,0.058664958724736684,0.9149695417022488
Central Forest Park,1,56.90065134490464,398,0.015,0.962
Central Park Heights,9,560.2805488657705,6716,0.017362567004169147,0.959692078618225
Charles North,2,169.75966343490532,1843,0.16271459576776992,0.7322561041779707
Charles Village,6,260.96764812783454,7689,0.5483424372480167,0.17686058004942123
Cherry Hill,7,1311.307446404195,8397,0.02919506966773848,0.944539240204835
Cheswolde,6,912.0480869658585,7500,0.7705954666666667,0.14875693333333334
Chinquapin Park,1,88.99450139112874,1038,0.063,0.894
Coldspring,1,680.9319308102771,985,0.16400000000000003,0.761
Coldstream Homestead Motebello,9,515.6115400975555,7256,0.016418687982359424,0.959731256890849
Concerned Citizens Of Forest Park,1,74.14004263705226,1024,0.016,0.972
Coppin Heights/Ash-Co-East,3,165.7358716408906,2478,0.008240112994350283,0.9761271186440678
Cross Country,4,667.9614446098191,5247,0.7782315608919382,0.16977854011816276
Cross Keys,1,309.43591964157537,856,0.8469999999999999,0.099
Curtis Bay,5,762.6814065647152,5468,0.5440546817849305,0.3487761521580103
Cylburn,3,231.03954534855305,2210,0.01543891402714932,0.957466515837104
Darley Park,2,53.51747866184022,1218,0.00533743842364532,0.9762167487684729
Dickeyville,1,315.7523582264521,1136,0.07,0.9109999999999999
Dolfield,3,235.15595784003153,2670,0.02246067415730337,0.954240074906367
Dorchester,3,314.18295851654665,2402,0.01636677768526228,0.9707510407993337
Downtown,2,490.92382519243836,4006,0.49539241138292567,0.2457538691962057
Druid Heights,3,129.65874084591132,1681,0.021409875074360495,0.9478471148126115
Dunbar-Broadway,2,211.16494485022994,1378,0.12326850507982584,0.7501320754716981
East Arlington,1,154.62758162834362,2194,0.007,0.977
East Baltimore Midway,5,349.4114780737921,3073,0.013036121054344289,0.9635043931012041
Easterwood,2,81.47911439862077,1702,0.006405405405405405,0.9799459459459459
Edgewood,3,142.02494397165958,3045,0.008,0.9730574712643678
Edmondson Village,4,159.05365559384376,3281,0.007605912831453825,0.9718396830234686
Ednor Gardens-Lakeside,6,582.9505711381584,5597,0.16304234411291763,0.7940562801500803
Ellwood Park/Monument,3,98.03846460223942,3218,0.10407054070851461,0.7769627097576135
Evergreen Lawn,1,49.12044879416553,863,0.009,0.949
Evesham Park,1,56.88669926265266,589,0.304,0.642
Fairmont,2,298.4103131065166,1273,0.029,0.9449465828750981
Fallstaff,3,332.9443113950099,4367,0.3746010991527364,0.4648919166475842
Federal Hill,2,107.04911011833089,1866,0.8648065380493033,0.08580171489817792
Fells Point,3,273.7255378676279,3344,0.8444874401913876,0.04434718899521531
Forest Park,2,135.50393617130538,1348,0.016878338278931752,0.961940652818991
Four By Four,1,82.68740276380115,1580,0.02,0.953
Frankford,15,2230.6431452790634,18544,0.11945459447799826,0.8191289365832615
Franklin Square,3,158.0738786142897,1895,0.0226754617414248,0.9257440633245383
Franklintown,1,571.7686621002182,1042,0.07,0.912
Franklintown Road,3,108.3091344229523,1849,0.0054916170903190915,0.9716241211465657
Garwyn Oaks,2,124.11567277455599,1087,0.013907083716651334,0.972364305427783
Gay Street,3,152.3815436950415,2166,0.011891043397968606,0.9698134810710988
Glen,7,866.9505143659916,8069,0.3447485438096418,0.6259074234725492
Glen Oaks,2,190.79892322494737,2267,0.06471901191001322,0.8974464049404499
Glenham-Belhar,6,875.8187549807354,6618,0.381558476881233,0.5712836204291327
Graceland Park,2,345.96749524461677,2211,0.7782686567164179,0.06561736770691994
Greektown,3,154.22727079335738,2655,0.6632399246704331,0.060690018832391716
Greenmount West,1,113.64578866339338,1061,0.307,0.65
Greenspring,3,170.983791242744,3149,0.00404287075261988,0.975315338202604
Grove Park,2,438.0051858864002,1722,0.01775609756097561,0.9498699186991869
Guilford,2,469.31390265620325,2266,0.7466994704324802,0.17903177405119153
Gwynns Falls,1,166.62489516405364,671,0.35,0.605
Hamilton Hills,10,1214.7285363109067,9669,0.25670679491157306,0.6998880959768332
Hampden,8,696.0700666561034,7098,0.8899888701042546,0.04521794871794871
Hanlon-Longwood,4,508.890368653486,2672,0.010766092814371258,0.9617814371257486
Harlem Park,4,201.05348269578582,3216,0.011245646766169154,0.964027052238806
Harwood,3,95.32245939265499,2372,0.39279848229342323,0.5281214165261383
Heritage Crossing,1,58.32553180417373,1043,0.02,0.938
Highlandtown,2,97.63097103596539,2272,0.611924735915493,0.1451698943661972
Hillen,2,321.0462271181922,3355,0.030135618479880773,0.9349269746646797
Hoes Heights,1,109.12793119430992,1122,0.752,0.135
Hollins Market,2,119.99146699633486,1909,0.3078863279203772,0.6313352540597171
Homeland,3,750.6803337699864,2914,0.8751455044612216,0.07252230610844201
Hopkins Bayview,1,532.5854439864428,2367,0.649,0.11199999999999999
Howard Park,9,1453.9411588502776,8383,0.028484552069664798,0.9462110223070499
Hunting Ridge,3,556.4722187288215,2063,0.19690256907416387,0.7726752302472127
Idlewood,3,256.2281925245796,3154,0.1312016487000634,0.8299096385542168
Inner Harbor,1,105.98413420560355,73,0.726,0.233
Irvington,4,622.8106335272215,3393,0.10276598880047158,0.8547541998231653
Johns Hopkins Homewood,1,279.775047817168,651,0.591,0.038
Johnston Square,3,152.84516745046926,1756,0.01664236902050114,0.9601173120728929
Jonestown,1,110.64552679862949,1222,0.299,0.597
Kenilworth Park,1,157.04511380272012,1206,0.021,0.968
Lake Evesham/Rosebank,1,186.56407829166008,1231,0.693,0.23200000000000004
Lake Walker,3,237.12329065556654,2215,0.5168103837471784,0.3555534988713318
Lakeland,4,428.18868049288085,4494,0.30040765465064534,0.5534601691143748
Langston Hughes,1,73.0056940678153,1210,0.012,0.969
Lauraville,2,302.28404995871455,1249,0.38159407526020817,0.5457678142514011
Lauraville/Morgan Park,4,458.04290628470204,3218,0.39317495338719705,0.5587072715972654
Levindale,2,232.20590419711172,1854,0.11160194174757282,0.8724476806903991
Liberty Square,1,211.72074659222866,805,0.010999999999999998,0.9629999999999999
Little Italy,1,93.9437837662288,1120,0.804,0.054
Loch Raven,3,636.4308430084438,6268,0.08228493937460116,0.8792153797064455
Locust Point,2,777.7692088842872,2699,0.9331459799925899,0.016756206002223044
Lower Edmondson Village,1,40.940436525707945,743,0.001,0.9920000000000001
Loyola/Notre Dame,2,546.1350041081242,3651,0.8709835661462614,0.05178635990139688
Lucille Park,1,93.2057424753187,828,0.013,0.967
Madison Park,2,72.27011361758689,1324,0.09737160120845921,0.8712114803625377
Madison-Eastend,2,98.42031928916042,2183,0.02164452588181402,0.9510792487402657
Mayfield,1,109.8292892370719,707,0.767,0.164
McElderry Park,5,105.6409621281548,3342,0.10105266307600239,0.7865484739676841
Medfield,3,287.57834170171543,2748,0.7548740902474528,0.12273362445414847
Medford,1,66.93302916802541,1127,0.466,0.278
Mid-Govans,1,64.16168149400814,988,0.077,0.883
Mid-Town Belvedere,2,223.12238240289997,3896,0.6041735112936344,0.2563193018480493
Middle East,5,245.73482162640346,1968,0.024340955284552844,0.9612718495934959
Midtown-Edmondson,4,179.13281961236973,2786,0.009554199569274946,0.9689303661162958
Millhill,3,226.28645480075792,2097,0.36134620886981406,0.5554406294706724
Milton-Montford,2,56.40647309957874,1291,0.014784663051897757,0.9439845081332299
Mondawmin,3,340.9015524075128,3724,0.012120569280343716,0.9611949516648765
Montebello,1,616.7290512102486,1682,0.249,0.707
Moravia-Walther,2,272.7073550959491,2067,0.3610304789550073,0.598958877600387
Morrell Park,4,673.8406098365233,3443,0.7601298286378159,0.13910949753122276
Mosher,2,114.50635294097883,1648,0.005712985436893203,0.9709939320388349
Mount Holly,1,81.92055230640182,812,0.018,0.9640000000000001
Mount Vernon,3,203.07265424594456,4399,0.5971252557399409,0.25093066606046827
Mount Washington,5,1421.7028860018559,3722,0.7824540569586244,0.15440059108006451
Mount Winans,1,240.1458888048035,1445,0.017,0.961
New Northwood,3,280.2964888456529,4043,0.02017437546376453,0.9550328963640861
New Southwest/Mount Clare,2,86.18224394945064,1638,0.354978021978022,0.4966593406593407
North Harford Road,5,759.0646340373694,5592,0.636552217453505,0.31350089413447785
North Roland Park/Poplar Hill,1,658.1710299932214,1426,0.679,0.119
Northwest Community Action,4,173.52700336733966,2471,0.006434237150951033,0.9659481991096721
O'Donnell Heights,3,209.26714098182552,1465,0.3133481228668942,0.5616450511945392
Oakenshawe,1,71.37841668052681,1144,0.719,0.114
Oaklee-Yale Heights,2,386.60488162288215,2708,0.26054948301329395,0.6870096011816839
Oldtown,4,193.65340047072672,3274,0.011142333536957849,0.960222968845449
Oliver,7,325.1286658419749,4120,0.015875,0.9612696601941747
Orangeville-Kresson,2,528.8911164704235,1696,0.5950400943396227,0.13672169811320756
Orchard Ridge,1,363.06048923803087,778,0.279,0.632
Original Northwood,1,129.4736904705204,1248,0.22900000000000004,0.705
Otterbein,1,157.2781768615565,1650,0.7919999999999999,0.132
Panway/Braddish Avenue,2,135.79306200798462,1733,0.006120600115406809,0.9801032890940565
Park Circle,4,266.658946485997,3394,0.022148497348261638,0.9558833235120802
Parklane,2,92.24647491803687,1624,0.02848029556650246,0.9500886699507389
Parkside,1,92.00820102250778,1733,0.066,0.913
Parkview/Woodbrook,3,115.56555075258647,2011,0.022979114868224765,0.9474659373446046
Patterson Park,1,22.520201847645,664,0.673,0.127
Patterson Park Neighborhood,7,182.85212264604596,5403,0.4558684064408663,0.33169831575050895
Patterson Place,1,26.862562228920456,830,0.418,0.44
Pen Lucy,4,188.29759301501397,3411,0.05847933157431838,0.9053309879800644
Penn North,2,109.79509505579357,1532,0.007,0.9726501305483028
Penn-Fallsway,2,242.86591434137466,7004,0.1441609080525414,0.8408208166761849
Penrose/Fayette Street Outreach,6,465.3352104793923,4258,0.01690770314701738,0.9613884452794739
Perkins Homes,1,108.89038221582793,2194,0.112,0.803
Perring Loch,2,332.9696399750272,3415,0.03619150805270863,0.9438084919472913
Pimlico Good Neighbors,1,268.32446502520526,940,0.016,0.9629999999999999
Pleasant View Gardens,1,24.75737044031072,393,0.01,0.9850000000000001
Poppleton,4,237.89801238419477,3177,0.026470254957507083,0.9571145734970097
Radnor-Winston,1,136.8313639769047,986,0.539,0.404
Ramblewood,2,146.59258696908532,1701,0.05861316872427983,0.919360964138742
Reisterstown Station,2,439.8377045143529,2168,0.0682080258302583,0.8673892988929889
Remington,3,266.2653073117006,2476,0.5851853796445879,0.2609495153473344
Reservoir Hill,9,308.0231432837795,6125,0.08503787755102041,0.8821248979591836
Richnor Springs,1,36.682019804790535,676,0.009,0.9599999999999999
Riverside,7,567.2949919465684,6471,0.9102418482460207,0.029321279554937414
Rognel Heights,2,127.93147875830162,1574,0.012512706480304956,0.9654771283354511
Roland Park,6,1171.171514763616,6432,0.8066811256218904,0.08220382462686569
Rosemont,3,187.237311206237,2890,0.005170242214532872,0.97218615916955
Rosemont East,2,337.79269934608374,2303,0.39629179331306996,0.5460772904906643
Rosemont Homeowners/Tenants,2,85.61552720655756,1393,0.009189519023689878,0.9728815506101938
Saint Agnes,1,193.29632519147157,1452,0.691,0.269
Saint Helena,1,61.70747871654171,608,0.821,0.09
Saint Josephs,3,159.7599198901074,2475,0.014686464646464647,0.9619688888888889
Saint Paul,1,245.8591995496788,661,0.805,0.133
Sandtown-Winchester,9,462.2436482760684,7453,0.014783174560579633,0.9684659868509323
Seton Hill,2,116.36744141558832,1602,0.20315667915106114,0.7448071161048689
Sharp-Leadenhall,2,116.33120896981248,1953,0.6128873527905786,0.3234664618535586
Shipley Hill,3,189.24947062438744,2248,0.022083185053380788,0.9562909252669038
South Baltimore,4,148.3650209609272,3308,0.8984455864570737,0.051344619105199524
South Clifton Park,1,87.10839172953115,486,0.01,0.971
Stonewood-Pentwood-Winston,1,131.93319731120752,1339,0.11,0.856
Taylor Heights-Overlea,1,431.16547978927184,754,0.7409999999999999,0.18999999999999997
Ten Hills,2,426.02990855948707,1663,0.2640877931449188,0.6848256163559832
Tremont,1,34.36359594066568,958,0.06099999999999999,0.9209999999999999
Tuscany-Canterbury,3,158.05924481144146,3413,0.6975016114854966,0.04480544975095224
Union Square,2,83.57176429182726,1344,0.25871875,0.6655
University Of Maryland,1,180.03611571175324,838,0.458,0.285
Uplands,2,353.24047813290167,2267,0.050107190119100135,0.9289854433171594
Upper Fells Point,3,130.223211471609,3221,0.7459472213598262,0.06813691400186278
Upton,7,393.77167623671875,6294,0.03750492532570702,0.9388325389259613
Villages Of Homeland,1,57.95324550424703,1045,0.6,0.293
Violetville,2,489.5218739953422,1689,0.803503256364713,0.1335748963883955
Wakefield,1,345.53447670380757,1923,0.107,0.86
Walbrook,3,205.6477415489827,2286,0.01555161854768154,0.9729041994750655
Waltherson,6,586.860928278732,5469,0.2559372828670689,0.6986494788809654
Washington Hill,2,99.33753979224637,1773,0.3585160744500846,0.45032994923857866
Washington Village/Pigtown,3,266.442359779591,3946,0.42484363912823114,0.47549493157627976
Waverly,1,108.68539672491136,1928,0.137,0.815
West Arlington,2,212.3868869736632,1288,0.003018633540372671,0.9798447204968944
West Forest Park,2,192.59118826654594,2252,0.013589698046181172,0.9700515097690942
West Hills,2,125.2224771498479,1502,0.06295073235685752,0.9139307589880161
Westfield,3,422.74053606338356,2882,0.5162990978487162,0.4267494795281055
Westgate,2,292.6293772488807,2452,0.32751549755301795,0.6312267536704731
Westport,1,470.2972309782236,985,0.19,0.762
Wilhelm Park,1,522.9543396884565,810,0.737,0.164
Wilson Park,2,155.230230026534,1377,0.024862745098039218,0.9501372549019608
Winchester,1,37.415188434993524,892,0.011,0.965
Windsor Hills,2,385.30474496490916,1490,0.06153154362416108,0.9140657718120806
Winston-Govans,2,121.65020356283136,1341,0.05529231916480239,0.9085324384787473
Woodberry,1,548.031189156368,1431,0.683,0.24499999999999997
Woodbourne Heights,2,197.13856134370698,1921,0.0246538261322228,0.9324825611660593
Woodbourne-McCabe,1,80.66842147708873,909,0.022,0.95
Woodmere,1,143.28309736114187,1058,0.021,0.96
Wyman Park,1,70.80869487638681,618,0.877,0.024
Wyndhurst,1,176.12875768638554,558,0.875,0.041
